 0              -1            -0
 0              -1            6
 0              1             6
 0              1             -0

 0              -1            -0
 3              -1            3
 3              1             3
 0              1             -0

 0              -1            -0
 3              -1            -3
 3              1             -3
 0              1             -0

 0              -1            -0
 1.22465e-16    -1            -6
 1.22465e-16    1             -6
 0              1             -0

 0              -1            -0
 -3             -1            -3
 -3             1             -3
 0              1             -0

 0              -1            -0
 -3             -1            3
 -3             1             3
 0              1             -0

 0              -1            -0
 -2.44929e-16   -1            6
 -2.44929e-16   1             6
 0              1             -0
