0               -1            -40
 0              -1            -34
 0              1             -34
 0              1             -40

 0              -1            -40
 3       -1            -37
 3       1             -37
 0              1             -40

 0              -1            -40
 3       -1            -43
 3       1             -43
 0              1             -40

 0              -1            -40
 1.22465e-16    -1            -45
 1.22465e-16    1             -45
 0              1             -40

 0              -1            -40
 -3      -1            -43
 -3      1             -43
 0              1             -40

 0              -1            -40
 -3      -1            -37
 -3      1             -37
 0              1             -40

 0              -1            -40
 -2.44929e-16   -1            -34
 -2.44929e-16   1             -34
 0              1             -40
